Name|ShortDescription|CategoryId|Price|Published|Deleted
iPhone 15 Pro|Apple's latest flagship smartphone with A17 Pro chip and titanium design.|22|999|TRUE|FALSE
Samsung Galaxy S24 Ultra|High-end Android phone with 200MP camera and S Pen support.|24|1199|TRUE|FALSE
Google Pixel 8 Pro|Google’s premium phone with Tensor G3 chip and advanced AI features.|23|999|TRUE|FALSE
OnePlus 12|Flagship killer with Snapdragon 8 Gen 3 and ultra-fast charging.|21|799|TRUE|FALSE
Apple Watch Series 9|Smartwatch with S9 chip, double tap gesture, and improved Siri.|156|399|TRUE|FALSE
Samsung Galaxy Watch 6|Wear OS-powered smartwatch with health tracking and sleek design.|156|329|TRUE|FALSE
Fitbit Versa 4|Fitness-focused smartwatch with heart rate monitoring and sleep tracking.|157|229|TRUE|FALSE
Garmin Venu 3|Premium smartwatch with GPS, health monitoring, and AMOLED display.|155|449|TRUE|FALSE
Sony WF-1000XM5|Noise-canceling wireless earbuds with superior sound quality.|140|299|TRUE|FALSE
Apple AirPods Pro (2nd Gen)|Wireless earbuds with active noise cancellation and MagSafe case.|140|249|TRUE|FALSE
Samsung Galaxy Buds2 Pro|Hi-Fi wireless earbuds with ANC and 360 Audio.|140|229|TRUE|FALSE
Nothing Ear (2)|Stylish wireless earbuds with great audio and unique transparent design.|140|149|TRUE|FALSE
Dell XPS 13 (2024)|Compact and powerful Windows ultrabook with Intel Core Ultra processor.|3|1199|TRUE|FALSE
"MacBook Air 15"" (M2, 2023)"|Slim and lightweight laptop with Apple's M2 chip and 18-hour battery.|3|1299|TRUE|FALSE
ASUS ROG Zephyrus G14|Powerful gaming laptop with AMD Ryzen 9 and RTX 4060 GPU.|3|1599|TRUE|FALSE
Lenovo Yoga 9i|2-in-1 premium laptop with rotating soundbar and 4K OLED display.|3|1399|TRUE|FALSE
Amazon Kindle Paperwhite (11th Gen)|"E-reader with 6.8\"" display, adjustable warm light, and weeks-long battery."|26|139|TRUE|FALSE
Logitech MX Master 3S|High-performance wireless mouse with ultra-quiet clicks and ergonomic design.|10|99|TRUE|FALSE
Anker 737 Power Bank (PowerCore 24K)|Portable charger with 140W output and fast-charging support.|163|159|TRUE|FALSE
